Date,CS_Mnth,CS_Qtr,CS_Ann,CD_Mnth,CD_Qtr,CD_Ann,Enrgy_Mnth,Enrgy_Qtr,Enrgy_Ann,Fncl_Mnth,Fncl_Qtr,Fncl_Ann,HlthC_Mnth,HlthC_Qtr,HlthC_Ann,Indstrl_Mnth,Indstrl_Qtr,Indstrl_Ann,Mtrls_Mnth,Mtrls_Qtr,Mtrls_Ann,Tech_Mnth,Tech_Qtr,Tech_Ann,Util_Mnth,Util_Qtr,Util_Ann,Unempl,Jobs_Non-Farm (000s),Hrly_Wages,CPI_urban,PPI_Commodity,Imp_Exp _Indx,haircut_price,cardboard_pice,Superbowl,Cosmetics_index,bodies,unidentified_bodies,underwear,beer_prct_change
2000-08-01,-0.0262,0.0854,-0.0101,0.017,-0.0923,-0.0554,-0.0248,0.0086,0.0369,0.0941,0.1116,0.0552,-0.0075,-0.0452,0.0186,0.0149,-0.0305,-0.0027,-0.0039,-0.0991,-0.2209,-0.052000000000000005,-0.0817,0.2873,-0.0017,-0.0133,-0.0949,0.040999999999999995,132230,,172.7,,100.4,109.4,202.9,NFC,167.4,2.0,22.0,,0.7
2000-09-01,-0.0147,-0.0045,-0.0369,-0.0502,-0.081,-0.0686,0.0966,0.0039,0.1174,0.0968,0.1322,0.2112,0.0344,0.0159,0.1097,0.1014,0.0746,0.0931,0.0134,-0.0508,-0.1789,0.1128,0.135,0.36700000000000005,0.0404,0.0232,-0.0027,0.039,132353,,173.6,,101.6,109.8,203.5,NFC,167.8,1.0,21.0,,0.0
2000-10-01,0.0318,-0.01,0.0884,0.0025,-0.0316,-0.0513,0.0203,0.0911,0.1977,0.0164,0.2197,0.3196,-0.026000000000000002,0.0,0.0928,-0.0463,0.066,0.0613,-0.1008,-0.0923,-0.2418,-0.1748,-0.1295,0.1461,0.1035,0.1461,0.0808,0.039,132351,,173.9,,101.2,110.0,204.3,NFC,165.7,3.0,17.0,,1.4
2000-11-01,0.0774,0.0953,0.0673,-0.005,-0.0526,-0.1316,-0.0247,0.0913,0.1871,-0.0162,0.0968,0.1176,0.0101,0.0178,0.0442,0.0382,0.0905,0.1221,0.0966,-0.0008,-0.1857,-0.081,-0.1561,0.0147,0.0718,0.2305,0.1427,0.039,132556,,174.2,,101.2,110.2,204.3,NFC,166.0,,14.0,,1.0
2000-12-01,0.0292,0.1442,0.1131,-0.024,-0.0264,-0.1598,-0.0584,-0.0629,0.12300000000000001,-0.0362,-0.0362,0.1357,-0.0904,-0.1051,-0.055999999999999994,-0.0308,-0.0404,0.1054,-0.0118,-0.0256,-0.1827,-0.1734,-0.3732,-0.2312,-0.0082,0.17300000000000001,0.1762,0.039,132709,,174.6,,100.5,110.6,204.3,NFC,168.1,,23.0,,-5.3
2001-01-01,0.0397,0.1529,0.2378,0.0673,0.0364,-0.1683,0.1157,0.0247,0.2357,0.0774,0.0216,0.2477,0.0047,-0.0769,-0.129,0.0246,0.031,0.0588,0.1074,0.2,-0.1845,-0.1206,-0.332,-0.4348,-0.0313,0.0298,0.1382,0.042,132698,,175.6,,100.5,110.8,204.3,AFC,168.5,5.0,20.0,,6.5
2001-02-01,-0.07,-0.0049,0.155,0.1055,0.1515,0.0387,-0.048,0.0002,0.1764,-0.0015,0.0368,0.2744,0.0926,-0.0016,-0.0238,0.0026,-0.0044,0.1526,-0.0244,0.0677,-0.0904,0.1903,-0.1348,-0.2592,-0.0452,-0.0826,0.1398,0.042,132789,,176.0,,99.9,111.0,204.3,AFC,168.4,,24.0,,-1.6
2001-03-01,0.0008,-0.0324,0.3045,-0.0695,0.0979,0.0318,-0.0087,0.0529,0.2243,-0.0778,-0.008,0.3212,-0.0329,0.0616,0.0094,-0.0645,-0.039,0.1392,-0.0019,0.0784,-0.0026,-0.2611,-0.2266,-0.5063,0.0111,-0.0647,0.2641,0.043,132747,,176.1,,98.3,111.2,204.3,AFC,168.9,2.0,20.0,,-0.5
2001-04-01,-0.0691,-0.1336,0.1468,-0.0256,0.0023,-0.1287,-0.0424,-0.0963,0.0339,-0.0363,-0.1127,0.0597,-0.0554,-0.0019,-0.1284,-0.0919,-0.1483,-0.0929,-0.0331,-0.0584,-0.1262,-0.0976,-0.2064,-0.5829,-0.016,-0.05,0.1745,0.044000000000000004,132463,,176.4,,97.8,111.9,204.0,AFC,169.4,1.0,26.0,,0.0
2001-05-01,0.0206,-0.0492,0.1249,0.0604,-0.0386,-0.048,0.10099999999999999,0.0451,0.1505,0.0438,-0.0724,0.1726,0.07200000000000001,-0.0207,-0.0499,0.1079,-0.0588,-0.0092,0.0767,0.0391,-0.0013,0.1543,-0.2304,-0.484,0.0547,0.0493,0.1688,0.043,132410,,177.3,,98.0,112.3,202.8,AFC,164.5,2.0,26.0,,0.5
